model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,price_per_mile
5 series,2014,11200,automatic,67068,diesel,125,57.6,2.0,12,0.1669946919544343
6 series,2018,27000,automatic,14827,petrol,145,42.8,2.0,8,1.821002225669387
5 series,2016,16000,automatic,62794,diesel,160,51.4,3.0,10,0.2548014141478485
1 series,2017,12750,automatic,26676,diesel,145,72.4,1.5,9,0.4779577147998201
7 series,2014,14500,automatic,39554,diesel,160,50.4,3.0,12,0.3665874500682611
5 series,2016,14900,automatic,35309,diesel,125,60.1,2.0,10,0.4219887280863236
5 series,2017,16000,automatic,38538,diesel,125,60.1,2.0,9,0.4151746328299341
2 series,2018,16250,manual,10401,petrol,145,52.3,1.5,8,1.5623497740601866
4 series,2017,14250,manual,42668,diesel,30,62.8,2.0,9,0.3339739383144277
5 series,2016,14250,automatic,36099,diesel,20,68.9,2.0,10,0.3947477769467298
x3,2017,15500,manual,74907,diesel,145,52.3,2.0,9,0.20692325149852484
1 series,2017,11800,manual,29840,diesel,20,68.9,2.0,9,0.39544235924932974
x3,2016,15500,automatic,77823,diesel,125,54.3,2.0,10,0.19916991120876862
2 series,2015,10500,manual,31469,diesel,20,68.9,2.0,11,0.33366169881470653
x3,2017,22000,automatic,19057,diesel,145,54.3,2.0,9,1.1544314425145616
3 series,2017,16500,manual,16570,diesel,125,58.9,2.0,9,0.995775497887749
3 series,2017,16000,automatic,45456,diesel,30,64.2,2.0,9,0.3519887363604365
1 series,2017,15500,automatic,22812,diesel,20,68.9,1.5,9,0.679466947220761
4 series,2014,14000,automatic,47348,diesel,125,60.1,2.0,12,0.29568302779420463
1 series,2015,9700,automatic,75124,diesel,20,70.6,2.0,11,0.129119855172781
3 series,2015,12600,automatic,78957,diesel,30,62.8,2.0,11,0.15958053117519663
3 series,2016,15100,automatic,29213,diesel,30,64.2,2.0,10,0.5168931640023278
1 series,2016,9400,manual,44498,diesel,0,83.1,1.5,10,0.21124544923367342
1 series,2016,14300,automatic,22461,diesel,20,67.3,2.0,10,0.6366590979920752
1 series,2016,11200,manual,23005,petrol,125,53.3,1.5,10,0.4868506846337753
3 series,2019,17800,automatic,22310,diesel,145,64.2,2.0,7,0.7978484984311968
3 series,2016,14400,automatic,51994,diesel,30,62.8,2.0,10,0.27695503327307
x5,2016,19750,automatic,96213,diesel,165,52.3,2.0,10,0.20527371561015664
x3,2015,17400,automatic,50316,diesel,200,47.9,3.0,11,0.3458144526591939
4 series,2017,16800,automatic,44011,diesel,150,65.7,2.0,9,0.3817227511303992
x4,2017,23000,automatic,34960,diesel,150,54.3,2.0,9,0.6578947368421053
1 series,2017,20500,automatic,24029,petrol,145,39.8,3.0,9,0.8531357942486163
1 series,2017,11900,manual,22920,petrol,145,53.3,1.5,9,0.5191972076788831
3 series,2015,11500,manual,59634,diesel,125,61.4,2.0,11,0.19284300902169904
1 series,2016,13500,manual,29226,diesel,30,62.8,2.0,10,0.4619174707452269
x1,2017,18900,automatic,33514,diesel,145,60.1,2.0,9,0.5639434266276779
1 series,2018,14600,automatic,6522,petrol,145,37.2,1.5,8,2.2385771235817233
3 series,2016,15800,manual,11231,petrol,145,47.9,2.0,10,1.4068204077998396
1 series,2016,11400,manual,21591,petrol,125,53.3,1.5,10,0.5279977768514659
x3,2013,12000,automatic,79972,diesel,200,47.1,3.0,13,0.1500525183814335
1 series,2018,17500,automatic,14037,petrol,145,54.3,1.5,8,1.246705136425162
5 series,2017,23500,automatic,25034,diesel,200,47.9,3.0,9,0.9387233362626828
x1,2016,16700,automatic,44478,diesel,125,60.1,2.0,10,0.3754665227753046
x3,2017,18000,automatic,74852,diesel,150,47.1,3.0,9,0.24047453641853256
4 series,2016,15500,automatic,45856,diesel,30,65.7,2.0,10,0.3380146545708304
1 series,2016,9200,manual,48858,diesel,0,83.1,1.5,10,0.1883007900446191
1 series,2017,11200,manual,40399,diesel,145,68.9,2.0,9,0.27723458501448056
1 series,2016,13200,manual,17393,diesel,30,65.7,2.0,10,0.7589260047145403
5 series,2014,11000,automatic,84816,diesel,30,62.8,2.0,12,0.12969251084701
3 series,2017,18500,automatic,27139,diesel,160,51.4,3.0,9,0.681675817089797
1 series,2017,12750,automatic,91563,diesel,125,60.1,2.0,9,0.13924838635693457
3 series,2014,14000,manual,32139,petrol,205,43.5,2.0,12,0.435607828494975
x1,2017,14000,automatic,54120,diesel,30,65.7,2.0,9,0.2586844050258684
x1,2017,14000,manual,20925,diesel,150,68.9,2.0,9,0.6690561529271206
3 series,2016,12750,manual,30521,diesel,20,68.9,2.0,10,0.41774515907080373
x1,2018,18000,manual,16066,petrol,150,51.4,1.5,8,1.1203784389393752
1 series,2015,11100,manual,11524,diesel,0,83.1,1.5,11,0.9632072197153766
1 series,2017,12700,manual,21809,petrol,145,53.3,1.5,9,0.5823283965335412
1 series,2017,14500,automatic,27245,diesel,145,68.9,2.0,9,0.5322077445402826
3 series,2013,12750,automatic,35736,diesel,125,58.9,2.0,13,0.35678307588985897
x1,2017,14100,automatic,55782,diesel,145,65.7,2.0,9,0.2527697106593525
1 series,2016,10800,manual,26404,petrol,125,53.3,1.5,10,0.409028935009847
